epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,253.882,0.51457,0.42997,0.91454,0.89712,0.96487,0.97218,0.85887,0.56975,0.62108,1.0966,0.00063964,0.00063964,0.00063964
184,255.26,0.52824,0.43507,0.91478,0.87184,0.94009,0.96943,0.8288,0.60428,0.73843,1.10205,0.00063766,0.00063766,0.00063766
185,256.661,0.53128,0.44643,0.9451,0.86327,0.90975,0.96255,0.81264,0.6301,0.79927,1.12419,0.00063568,0.00063568,0.00063568
186,258.013,0.53911,0.42985,0.95388,0.87233,0.89399,0.96207,0.82387,0.66154,0.82954,1.14929,0.0006337,0.0006337,0.0006337
187,259.418,0.52712,0.40928,0.94065,0.88569,0.88195,0.96048,0.82315,0.67496,0.8149,1.16396,0.00063172,0.00063172,0.00063172
188,260.811,0.53781,0.4248,0.9447,0.92552,0.89643,0.95517,0.83326,0.66949,0.75692,1.17216,0.00062974,0.00062974,0.00062974
189,262.18,0.51844,0.43012,0.92912,0.92263,0.89643,0.96096,0.83462,0.64749,0.75209,1.15202,0.00062776,0.00062776,0.00062776
190,263.537,0.52399,0.43632,0.93546,0.92329,0.88851,0.96019,0.83697,0.61671,0.78041,1.13343,0.00062578,0.00062578,0.00062578
191,264.905,0.48483,0.41145,0.91817,0.93008,0.90673,0.9692,0.80515,0.59103,0.7534,1.10637,0.0006238,0.0006238,0.0006238
192,266.297,0.53291,0.43071,0.94489,0.95053,0.9052,0.96995,0.7955,0.57006,0.68562,1.07864,0.00062182,0.00062182,0.00062182
193,267.661,0.50641,0.41693,0.93101,0.94431,0.91055,0.96388,0.84148,0.56253,0.65434,1.07627,0.00061984,0.00061984,0.00061984
194,269.049,0.5243,0.3989,0.91103,0.94725,0.89643,0.95652,0.84351,0.57188,0.63932,1.08116,0.00061786,0.00061786,0.00061786
195,270.412,0.51051,0.41112,0.92152,0.94215,0.89643,0.95802,0.85064,0.58483,0.64384,1.08854,0.00061588,0.00061588,0.00061588
196,271.815,0.54638,0.41612,0.95189,0.93491,0.89979,0.96432,0.85114,0.58626,0.66699,1.09195,0.0006139,0.0006139,0.0006139
197,273.161,0.49286,0.43324,0.93238,0.9455,0.90769,0.96526,0.84405,0.60141,0.68012,1.11267,0.00061192,0.00061192,0.00061192
198,274.511,0.52671,0.41463,0.91384,0.94207,0.91756,0.97387,0.83912,0.5847,0.67662,1.11536,0.00060994,0.00060994,0.00060994
199,275.864,0.50714,0.40692,0.93473,0.94074,0.92218,0.97324,0.83492,0.57442,0.68789,1.11711,0.00060796,0.00060796,0.00060796
200,277.251,0.52352,0.41123,0.93746,0.92708,0.94723,0.97122,0.83153,0.59464,0.69255,1.12352,0.00060598,0.00060598,0.00060598
201,278.605,0.50156,0.38004,0.91865,0.93123,0.95297,0.97111,0.82191,0.62574,0.68921,1.13928,0.000604,0.000604,0.000604
202,279.949,0.50431,0.41157,0.92559,0.92478,0.96429,0.97062,0.8179,0.65648,0.72357,1.15879,0.00060202,0.00060202,0.00060202
203,281.317,0.49974,0.39994,0.91716,0.90832,0.95536,0.97035,0.8132,0.65413,0.75519,1.15307,0.00060004,0.00060004,0.00060004
204,282.734,0.50217,0.40695,0.89158,0.91597,0.9061,0.96773,0.81033,0.67915,0.7938,1.17745,0.00059806,0.00059806,0.00059806
205,284.108,0.50076,0.39564,0.91886,0.93987,0.9085,0.96852,0.81055,0.69302,0.80682,1.18645,0.00059608,0.00059608,0.00059608
206,285.459,0.493,0.40329,0.90558,0.952,0.9035,0.96821,0.82844,0.68934,0.77204,1.18794,0.0005941,0.0005941,0.0005941
207,286.828,0.49817,0.3962,0.93971,0.95692,0.88732,0.96926,0.78714,0.7032,0.80149,1.20011,0.00059212,0.00059212,0.00059212
208,288.235,0.50203,0.37772,0.90343,0.93948,0.87282,0.96613,0.78902,0.70355,0.81457,1.18637,0.00059014,0.00059014,0.00059014
209,289.599,0.4885,0.39302,0.91692,0.90907,0.90461,0.96582,0.79507,0.69714,0.7933,1.17592,0.00058816,0.00058816,0.00058816
210,290.979,0.48467,0.38493,0.91416,0.95342,0.89636,0.96544,0.82265,0.70147,0.77011,1.15957,0.00058618,0.00058618,0.00058618
211,292.328,0.52634,0.4192,0.92677,0.95576,0.90275,0.96623,0.83437,0.69701,0.73896,1.15103,0.0005842,0.0005842,0.0005842
212,293.698,0.50305,0.41156,0.91871,0.96058,0.93282,0.97032,0.85629,0.67409,0.73225,1.1461,0.00058222,0.00058222,0.00058222
213,295.049,0.46886,0.39503,0.92946,0.88758,0.95169,0.96255,0.84422,0.65285,0.73702,1.1382,0.00058024,0.00058024,0.00058024
214,296.417,0.54026,0.42394,0.93481,0.96147,0.91808,0.9725,0.83142,0.64421,0.76539,1.14533,0.00057826,0.00057826,0.00057826
215,297.766,0.48485,0.39526,0.90068,0.94341,0.92819,0.97007,0.82908,0.65344,0.72439,1.15752,0.00057628,0.00057628,0.00057628
216,299.129,0.50039,0.40435,0.94406,0.87324,0.95675,0.95254,0.80984,0.68546,0.78067,1.2052,0.0005743,0.0005743,0.0005743
217,300.48,0.49562,0.40402,0.9046,0.87914,0.94354,0.94722,0.80999,0.70639,0.81137,1.21949,0.00057232,0.00057232,0.00057232
218,301.83,0.50685,0.4054,0.93018,0.89219,0.90791,0.91732,0.77761,0.72954,0.82136,1.22884,0.00057034,0.00057034,0.00057034
219,303.196,0.50102,0.40297,0.91374,0.89068,0.91429,0.91922,0.7694,0.73333,0.80928,1.22971,0.00056836,0.00056836,0.00056836
220,304.586,0.50108,0.37642,0.92862,0.8889,0.90607,0.93938,0.81093,0.71766,0.81308,1.20682,0.00056638,0.00056638,0.00056638
221,305.929,0.52888,0.38742,0.91654,0.88255,0.91626,0.95624,0.78313,0.68543,0.81447,1.17357,0.0005644,0.0005644,0.0005644
222,307.279,0.51314,0.39034,0.95156,0.9011,0.90865,0.95604,0.7795,0.66224,0.8053,1.15272,0.00056242,0.00056242,0.00056242
223,308.63,0.45548,0.36717,0.90048,0.90091,0.91123,0.944,0.77297,0.64797,0.78393,1.13733,0.00056044,0.00056044,0.00056044
224,310.003,0.48153,0.37823,0.8974,0.90964,0.91594,0.9541,0.81942,0.61644,0.74993,1.11106,0.00055846,0.00055846,0.00055846
225,311.358,0.49087,0.37951,0.89973,0.89917,0.91791,0.94639,0.81471,0.61135,0.71243,1.11196,0.00055648,0.00055648,0.00055648
226,312.703,0.44852,0.37928,0.91396,0.87917,0.95288,0.94656,0.80397,0.59785,0.70968,1.10401,0.0005545,0.0005545,0.0005545
227,314.133,0.46791,0.36961,0.8945,0.87408,0.96429,0.9464,0.79333,0.58419,0.71759,1.09983,0.00055252,0.00055252,0.00055252
228,315.599,0.47803,0.38524,0.90347,0.91838,0.91323,0.96377,0.8152,0.64048,0.71772,1.14988,0.00055054,0.00055054,0.00055054
229,316.947,0.43281,0.3732,0.89479,0.93341,0.90722,0.9639,0.81618,0.67318,0.70579,1.19265,0.00054856,0.00054856,0.00054856
230,318.289,0.48305,0.38518,0.92212,0.87659,0.90515,0.96356,0.8018,0.70283,0.71173,1.23071,0.00054658,0.00054658,0.00054658
231,319.646,0.50833,0.38733,0.90469,0.86662,0.90009,0.9637,0.79385,0.71243,0.72703,1.23921,0.0005446,0.0005446,0.0005446
232,321.058,0.49494,0.38368,0.92416,0.79987,0.95563,0.94779,0.78561,0.70949,0.77039,1.23791,0.00054262,0.00054262,0.00054262
233,322.405,0.4468,0.40075,0.9212,0.77187,0.95536,0.94598,0.78906,0.69468,0.79785,1.22149,0.00054064,0.00054064,0.00054064
234,323.762,0.47497,0.37262,0.91719,0.85686,0.88171,0.95537,0.79591,0.67491,0.85648,1.19536,0.00053866,0.00053866,0.00053866
235,325.119,0.49895,0.40059,0.92537,0.7761,0.87528,0.93244,0.77912,0.65152,0.93901,1.18045,0.00053668,0.00053668,0.00053668
