epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,60.3499,0.74719,0.74016,1.03991,0.69272,0.89241,0.91253,0.64695,0.86455,1.57712,1.37441,0.00091882,0.00091882,0.00091882
43,61.7446,0.74953,0.69935,1.00246,0.74404,0.88043,0.92006,0.64022,0.82159,1.58284,1.34864,0.00091684,0.00091684,0.00091684
44,63.152,0.72309,0.69781,1.01647,0.7608,0.91228,0.91241,0.62682,0.80322,1.54828,1.34218,0.00091486,0.00091486,0.00091486
45,64.5361,0.7387,0.72587,1.00704,0.72838,0.92179,0.88951,0.63709,0.79113,1.55808,1.30869,0.00091288,0.00091288,0.00091288
46,65.9038,0.72915,0.73208,1.01565,0.78617,0.91071,0.90588,0.67318,0.76385,1.55084,1.26174,0.0009109,0.0009109,0.0009109
47,67.2516,0.7296,0.71418,1.02496,0.59074,0.96429,0.92953,0.73192,0.72937,1.64423,1.22054,0.00090892,0.00090892,0.00090892
48,68.646,0.71377,0.70174,1.01686,0.83286,0.8875,0.94447,0.71741,0.82709,1.34596,1.32029,0.00090694,0.00090694,0.00090694
49,70.037,0.70407,0.69549,0.9878,0.95463,0.8805,0.94413,0.67494,0.81732,1.17434,1.30043,0.00090496,0.00090496,0.00090496
50,71.4207,0.69721,0.67225,1.00552,0.86414,0.94172,0.9537,0.64778,0.82281,1.25461,1.32456,0.00090298,0.00090298,0.00090298
51,72.7714,0.74124,0.68061,1.0196,0.90409,0.8807,0.95108,0.64812,0.83122,1.3396,1.34266,0.000901,0.000901,0.000901
52,74.1552,0.70265,0.68669,0.9934,0.81223,0.85179,0.91351,0.70618,0.73718,1.41062,1.27339,0.00089902,0.00089902,0.00089902
53,75.515,0.72892,0.67332,1.01556,0.83318,0.8462,0.92927,0.69361,0.7233,1.40782,1.25224,0.00089704,0.00089704,0.00089704
54,76.9042,0.68726,0.64597,1.02138,0.8393,0.83236,0.9203,0.66161,0.76444,1.55332,1.26134,0.00089506,0.00089506,0.00089506
55,78.2632,0.71676,0.67739,1.03615,0.89174,0.80563,0.91762,0.66025,0.80798,1.67883,1.29053,0.00089308,0.00089308,0.00089308
56,79.6612,0.68894,0.64654,1.00483,0.88076,0.83036,0.93283,0.70553,0.73345,1.41254,1.24631,0.0008911,0.0008911,0.0008911
57,80.9882,0.72159,0.67723,1.03311,0.8563,0.84821,0.93186,0.71381,0.7061,1.28601,1.21999,0.00088912,0.00088912,0.00088912
58,82.3209,0.68728,0.6551,1.01456,0.77627,0.88243,0.93407,0.70925,0.71041,1.19376,1.21169,0.00088714,0.00088714,0.00088714
59,83.691,0.73503,0.6729,1.01525,0.79745,0.86074,0.94004,0.73025,0.70067,1.08673,1.19971,0.00088516,0.00088516,0.00088516
60,85.0681,0.70251,0.67151,1.02127,0.74559,0.8875,0.91166,0.75622,0.6366,1.01971,1.15581,0.00088318,0.00088318,0.00088318
61,86.4332,0.69945,0.64766,1.01266,0.84886,0.79193,0.91754,0.76382,0.68759,1.08389,1.19882,0.0008812,0.0008812,0.0008812
62,87.7944,0.70203,0.64441,1.02112,0.8324,0.83805,0.9248,0.75935,0.73477,1.13033,1.25465,0.00087922,0.00087922,0.00087922
63,89.1488,0.69164,0.65544,1.01954,0.83375,0.82972,0.91715,0.74983,0.72996,1.20756,1.26169,0.00087724,0.00087724,0.00087724
64,90.52,0.65555,0.60859,0.97019,0.8849,0.83676,0.92564,0.77395,0.79831,1.16073,1.29722,0.00087526,0.00087526,0.00087526
65,91.8861,0.70536,0.62512,1.00708,0.90105,0.8422,0.91949,0.76528,0.75378,1.19445,1.26836,0.00087328,0.00087328,0.00087328
66,93.2621,0.67751,0.64184,1.01224,0.87857,0.84046,0.90947,0.73482,0.71487,1.28716,1.26858,0.0008713,0.0008713,0.0008713
67,94.6351,0.67345,0.60374,0.98806,0.77021,0.83332,0.89746,0.70097,0.71127,1.57785,1.26785,0.00086932,0.00086932,0.00086932
68,96.0466,0.67529,0.65114,0.97238,0.75481,0.79939,0.85671,0.72822,0.667,1.54494,1.19894,0.00086734,0.00086734,0.00086734
69,97.4091,0.66571,0.60088,0.95595,0.85051,0.72316,0.86569,0.75422,0.64843,1.47083,1.18128,0.00086536,0.00086536,0.00086536
70,98.7875,0.68788,0.6186,0.97709,0.89024,0.74983,0.87861,0.77766,0.61442,1.40656,1.1622,0.00086338,0.00086338,0.00086338
71,100.173,0.6767,0.59689,0.99036,0.89301,0.76201,0.87546,0.79609,0.64482,1.36092,1.17021,0.0008614,0.0008614,0.0008614
72,101.576,0.66761,0.58415,0.99221,0.93089,0.82136,0.90963,0.80121,0.66825,1.1363,1.14765,0.00085942,0.00085942,0.00085942
73,102.926,0.68432,0.61722,1.00018,0.95004,0.90536,0.93827,0.81289,0.71581,1.2098,1.18788,0.00085744,0.00085744,0.00085744
74,104.285,0.68085,0.60041,0.99008,0.92106,0.90687,0.95195,0.80872,0.67804,1.10205,1.17843,0.00085546,0.00085546,0.00085546
75,105.667,0.68722,0.6458,1.03816,0.94095,0.91429,0.95646,0.73362,0.64756,1.01481,1.17983,0.00085348,0.00085348,0.00085348
76,107.048,0.70253,0.64781,1.02907,0.89328,0.94759,0.97014,0.75397,0.76087,1.03013,1.33391,0.0008515,0.0008515,0.0008515
77,108.408,0.65381,0.61549,0.98114,0.85209,0.95789,0.96966,0.79019,0.74205,1.05446,1.32337,0.00084952,0.00084952,0.00084952
78,109.786,0.66326,0.58621,0.96454,0.89833,0.93192,0.96918,0.80691,0.72577,0.96703,1.28995,0.00084754,0.00084754,0.00084754
79,111.159,0.652,0.56896,0.96,0.92656,0.92074,0.96879,0.78814,0.74157,0.92343,1.28506,0.00084556,0.00084556,0.00084556
80,112.559,0.64496,0.58375,0.97748,0.90199,0.84647,0.97175,0.81153,0.76807,0.98625,1.28129,0.00084358,0.00084358,0.00084358
81,113.93,0.65807,0.61671,1.01077,0.92304,0.84723,0.96581,0.84446,0.72884,0.99475,1.24491,0.0008416,0.0008416,0.0008416
82,115.287,0.62801,0.59264,0.95546,0.92164,0.84463,0.95676,0.85457,0.66451,0.99522,1.16999,0.00083962,0.00083962,0.00083962
83,116.639,0.598,0.56266,0.92913,0.90779,0.89058,0.95694,0.84942,0.6277,0.98296,1.15127,0.00083764,0.00083764,0.00083764
84,118.037,0.60434,0.54103,0.97539,0.75378,0.92018,0.94516,0.82961,0.63158,1.02947,1.14769,0.00083566,0.00083566,0.00083566
85,119.38,0.64325,0.57333,0.98488,0.77319,0.81925,0.92788,0.78961,0.67152,1.24851,1.17405,0.00083368,0.00083368,0.00083368
86,120.751,0.62728,0.56548,1.00281,0.90195,0.70903,0.92325,0.76946,0.71306,1.43924,1.22904,0.0008317,0.0008317,0.0008317
87,122.13,0.65874,0.58414,0.97744,0.83143,0.75317,0.92284,0.78509,0.7339,1.49515,1.26627,0.00082972,0.00082972,0.00082972
88,123.52,0.59277,0.56785,0.96893,0.83843,0.81545,0.93814,0.82611,0.7862,1.14009,1.32886,0.00082774,0.00082774,0.00082774
89,124.899,0.68635,0.57226,1.01812,0.83546,0.92454,0.95713,0.83264,0.7611,0.98541,1.32927,0.00082576,0.00082576,0.00082576
90,126.239,0.61986,0.54363,0.95537,0.91106,0.85454,0.95708,0.78936,0.73538,0.97188,1.30907,0.00082378,0.00082378,0.00082378
91,127.616,0.69059,0.57656,1.02707,0.9019,0.82857,0.92258,0.76835,0.7141,0.99813,1.26911,0.0008218,0.0008218,0.0008218
92,128.985,0.63718,0.57233,1.0146,0.91192,0.86864,0.93992,0.79243,0.64303,1.04298,1.17669,0.00081982,0.00081982,0.00081982
93,130.336,0.62345,0.57594,0.96891,0.91457,0.89524,0.96415,0.81473,0.62214,0.92039,1.15261,0.00081784,0.00081784,0.00081784
94,131.692,0.62863,0.56184,0.98886,0.92151,0.95656,0.97038,0.82047,0.62964,0.81468,1.16509,0.00081586,0.00081586,0.00081586
95,133.069,0.64436,0.56485,0.97561,0.94588,0.94274,0.97117,0.81833,0.64695,0.82044,1.1714,0.00081388,0.00081388,0.00081388
96,134.466,0.63104,0.5506,0.98072,0.88751,0.96492,0.97256,0.79635,0.68611,0.85367,1.17728,0.0008119,0.0008119,0.0008119
97,135.819,0.62853,0.55815,0.98042,0.90995,0.92575,0.97162,0.80406,0.66255,0.83489,1.17621,0.00080992,0.00080992,0.00080992
98,137.184,0.6429,0.55409,0.97611,0.93407,0.91309,0.97493,0.83171,0.64368,0.82682,1.16798,0.00080794,0.00080794,0.00080794
99,138.527,0.63783,0.57618,1.00722,0.96356,0.90334,0.97184,0.80839,0.63955,0.76741,1.16566,0.00080596,0.00080596,0.00080596
100,139.932,0.62767,0.55776,0.97968,0.8724,0.88753,0.95214,0.81227,0.57883,0.76584,1.08694,0.00080398,0.00080398,0.00080398
101,141.286,0.59779,0.51983,0.94788,0.88125,0.8835,0.93584,0.82188,0.58045,0.77946,1.08709,0.000802,0.000802,0.000802
102,142.684,0.61813,0.51834,0.97966,0.88174,0.87971,0.93747,0.82292,0.56661,0.78985,1.0898,0.00080002,0.00080002,0.00080002
103,144.074,0.63806,0.55158,0.98674,0.85596,0.95536,0.95805,0.85139,0.55896,0.8005,1.08058,0.00079804,0.00079804,0.00079804
104,145.47,0.60262,0.52984,0.97044,0.89666,0.94003,0.97118,0.83632,0.5502,0.80867,1.04999,0.00079606,0.00079606,0.00079606
105,146.835,0.63407,0.51576,0.98137,0.87639,0.92016,0.96689,0.84889,0.54356,0.8192,1.05329,0.00079408,0.00079408,0.00079408
106,148.189,0.60275,0.55169,0.98535,0.87164,0.88143,0.95475,0.85292,0.56513,0.9254,1.06379,0.0007921,0.0007921,0.0007921
107,149.537,0.59142,0.5581,0.97647,0.82931,0.82902,0.94118,0.81176,0.58144,1.06229,1.07073,0.00079012,0.00079012,0.00079012
108,150.967,0.62066,0.52431,0.98024,0.75914,0.84286,0.90569,0.75737,0.64466,1.36577,1.13803,0.00078814,0.00078814,0.00078814
